Visits,URI,Controller,Method
admin/sales/invoices/voidInvoice/{order_id},App\Http\Controllers\AdminOrderController,postVoidInvoice
admin/sales/products/addons/{id}/setStatus,App\Http\Controllers\AdminProductController,setAddonActiveStatus
admin/sales/products/create,App\Http\Controllers\AdminProductController,postCreate
admin/sales/products/csv,App\Http\Controllers\AdminProductController,getProductsCSV
admin/sales/products/notifications/{id}/addEmail,App\Http\Controllers\AdminProductController,addNotificationEmail
admin/sales/products/notifications/{id}/query,App\Http\Controllers\AdminProductController,queryNotifications
admin/sales/products/notifications/{id}/removeEmail,App\Http\Controllers\AdminProductController,removeNotificationEmail
admin/sales/products/notifications/{id}/toggle,App\Http\Controllers\AdminProductController,toggleNotifications
admin/sales/products/{id}/transactions,App\Http\Controllers\AdminProductController,showTransactions
admin/sales/products/{id}/update,App\Http\Controllers\AdminProductController,postUpdate
admin/sales/products/{product_id}/addon/add/{add_product_id},App\Http\Controllers\AdminProductController,makeAddon
admin/sales/storeFrontItems/{id},App\Http\Controllers\AdminStoreFrontItemController,fetchOne
admin/settings/create,App\Http\Controllers\SettingsController,create
admin/signatures/create,App\Http\Controllers\SignaturesController,create
admin/sponsorblogs,App\Http\Controllers\SponsorBlogsController,index
admin/sponsorblogs,App\Http\Controllers\SponsorBlogsController,store
admin/sponsorblogs/{sponsorblog}/edit,App\Http\Controllers\SponsorBlogsController,edit
admin/sponsors/autocomplete,App\Http\Controllers\Admin\SponsorController,autocomplete
admin/sponsors/lead-gen,App\Http\Controllers\SponsorsController,postLeadGen
admin/sponsors/orders,App\Http\Controllers\Admin\SponsorController,orderSearch
admin/sponsors/po/delete/{sponsor_id}/{po},App\Http\Controllers\SponsorsController,deletePoNumber
admin/sponsors/po/{sponsor_id},App\Http\Controllers\SponsorsController,addPoNumber
admin/sponsors/sponsor-rep-manager-mappings,App\Http\Controllers\SponsorsController,getSponsorRepManagerMappings
admin/sponsors/update-sponsor-info,App\Http\Controllers\SponsorsController,updateSponsorInfo
admin/sponsors/{sponsor_id}/add-contact,App\Http\Controllers\SponsorsController,addContact
admin/sponsors/{sponsor_id}/delete-contact/{contact_id},App\Http\Controllers\SponsorsController,deleteSponsorContact
